repository,pr,ga,v_old,v_new,update_type
brenoepics/at4j,74,org.sonatype.central:central-publishing-maven-plugin,0.3.1,0.4.0,minor
brenoepics/at4j,73,org.mockito:mockito-core,5.10.0,5.11.0,minor
brenoepics/at4j,70,org.apache.logging.log4j:log4j-api,2.22.1,2.23.0,minor
brenoepics/at4j,69,org.sonatype.central:central-publishing-maven-plugin,0.3.0,0.3.1,patch
brenoepics/at4j,60,org.apache.maven.plugins:maven-surefire-plugin,3.1.2,3.2.5,minor
brenoepics/at4j,59,org.sonatype.central:central-publishing-maven-plugin,0.2.0,0.3.0,minor
brenoepics/at4j,58,org.mockito:mockito-core,5.9.0,5.10.0,minor
brenoepics/at4j,56,org.apache.maven.plugins:maven-surefire-plugin,2.22.2,3.2.5,major
brenoepics/at4j,55,org.sonatype.central:central-publishing-maven-plugin,0.1.2,0.2.0,minor
brenoepics/at4j,54,org.jacoco:jacoco-maven-plugin,0.8.7,0.8.11,patch
brenoepics/at4j,40,org.mockito:mockito-core,5.8.0,5.9.0,minor
brenoepics/at4j,39,org.apache.maven.plugins:maven-jar-plugin,3.1.0,3.3.0,minor
brenoepics/at4j,38,org.apache.maven.plugins:maven-resources-plugin,3.2.0,3.3.1,minor
brenoepics/at4j,9,org.apache.maven.plugins:maven-compiler-plugin,3.8.1,3.12.1,minor
brenoepics/at4j,8,org.mockito:mockito-junit-jupiter,5.2.0,5.8.0,minor
brenoepics/at4j,7,org.apache.logging.log4j:log4j-core,2.20.0,2.22.1,minor
brenoepics/at4j,6,org.apache.logging.log4j:log4j-api,2.20.0,2.22.1,minor
SpringBootCourses/cqrs-banking-app,65,org.liquibase:liquibase-core,4.25.1,4.27.0,minor
SpringBootCourses/cqrs-banking-app,63,org.springframework.kafka:spring-kafka,3.1.1,3.1.3,patch
SpringBootCourses/cqrs-banking-app,23,org.liquibase:liquibase-core,4.25.1,4.26.0,minor
SpringBootCourses/cqrs-banking-app,22,org.apache.maven.plugins:maven-checkstyle-plugin,3.2.2,3.3.1,minor
Sstudios-Dev/Betterpvp-2.0,7,org.apache.commons:commons-lang3,3.12.0,3.14.0,minor
Sstudios-Dev/Betterpvp-2.0,6,org.projectlombok:lombok,1.18.24,1.18.30,patch
Sstudios-Dev/Betterpvp-2.0,5,commons-io:commons-io,2.11.0,2.15.1,minor
Sstudios-Dev/Betterpvp-2.0,2,org.apache.maven.plugins:maven-shade-plugin,3.2.4,3.5.1,minor
manusa/helm-java,82,org.apache.maven.plugins:maven-source-plugin,3.2.1,3.3.1,minor
manusa/helm-java,74,org.testcontainers:k3s,1.19.6,1.19.7,patch
manusa/helm-java,68,org.testcontainers:k3s,1.19.5,1.19.6,patch
manusa/helm-java,48,org.testcontainers:k3s,1.19.4,1.19.5,patch
manusa/helm-java,26,org.testcontainers:k3s,1.19.3,1.19.4,patch
manusa/helm-java,12,org.apache.maven.plugins:maven-surefire-plugin,3.2.2,3.2.5,patch
britka/playwrightium,46,org.testng:testng,7.10.1,7.10.2,patch
britka/playwrightium,45,com.codeborne:selenide-testng,7.2.3,7.3.1,minor
britka/playwrightium,43,org.apache.commons:commons-text,1.11.0,1.12.0,minor
britka/playwrightium,41,org.testng:testng,7.10.0,7.10.1,patch
britka/playwrightium,38,com.microsoft.playwright:playwright,1.42.0,1.43.0,minor
britka/playwrightium,36,org.slf4j:slf4j-simple,2.0.12,2.0.13,patch
britka/playwrightium,34,org.testng:testng,7.9.0,7.10.0,minor
britka/playwrightium,31,com.codeborne:selenide-testng,7.2.2,7.2.3,patch
britka/playwrightium,28,com.codeborne:selenide-testng,7.2.1,7.2.2,patch
britka/playwrightium,24,com.codeborne:selenide-testng,7.2.0,7.2.1,patch
britka/playwrightium,23,com.microsoft.playwright:playwright,1.41.2,1.42.0,minor
britka/playwrightium,20,com.codeborne:selenide,7.1.0,7.2.0,minor
britka/playwrightium,18,com.codeborne:selenide,7.0.6,7.1.0,minor
britka/playwrightium,16,org.slf4j:slf4j-simple,2.0.11,2.0.12,patch
britka/playwrightium,14,org.junit.jupiter:junit-jupiter-params,5.10.1,5.10.2,patch
britka/playwrightium,13,org.slf4j:slf4j-simple,2.0.9,2.0.11,patch
britka/playwrightium,12,com.microsoft.playwright:playwright,1.40.0,1.41.2,minor
britka/playwrightium,11,org.slf4j:slf4j-api,2.0.9,2.0.11,patch
britka/playwrightium,10,com.codeborne:selenide,7.0.4,7.0.6,patch
britka/playwrightium,7,org.apache.maven.plugins:maven-javadoc-plugin,3.5.0,3.6.3,minor
britka/playwrightium,5,org.assertj:assertj-core,3.24.2,3.25.2,minor
SpringBootCourses/data-analyser-microservice,28,org.springframework.kafka:spring-kafka,3.0.12,3.1.1,minor
SpringBootCourses/data-analyser-microservice,22,com.jcabi:jcabi-xml,0.27.2,0.29.0,minor
SpringBootCourses/data-analyser-microservice,21,org.springframework.kafka:spring-kafka,3.0.4,3.0.12,patch
SpringBootCourses/data-analyser-microservice,18,io.projectreactor.kafka:reactor-kafka,1.3.17,1.3.22,patch
Swofty-Developments/Continued-Slime-World-Manager,5,org.mongodb:mongo-java-driver,3.11.0-rc0,3.12.14,minor
Swofty-Developments/Continued-Slime-World-Manager,3,org.yaml:snakeyaml,1.24,2.0,major
whereareiam/Socialismus,20,net.kyori:adventure-text-minimessage,4.15.0,4.16.0,minor
whereareiam/Socialismus,14,org.xerial:sqlite-jdbc,3.44.1.0,3.45.0.0,minor
whereareiam/Socialismus,13,org.apache.maven.plugins:maven-javadoc-plugin,3.3.0,3.6.3,minor
whereareiam/Socialismus,12,net.kyori:adventure-text-serializer-plain,4.14.0,4.15.0,minor
whereareiam/Socialismus,9,net.kyori:adventure-platform-bukkit,4.3.0,4.3.2,patch
whereareiam/Socialismus,8,net.kyori:adventure-text-minimessage,4.14.0,4.15.0,minor
whereareiam/Socialismus,7,org.xerial:sqlite-jdbc,3.43.2.1,3.44.1.0,minor
dmlloyd/jdk-classfile-preview,21,org.codehaus.mojo:versions-maven-plugin,2.16.1,2.16.2,patch
dmlloyd/jdk-classfile-preview,17,org.apache.maven.plugins:maven-clean-plugin,3.3.1,3.3.2,patch
dmlloyd/jdk-classfile-preview,12,org.codehaus.mojo:versions-maven-plugin,2.16.0,2.16.1,patch
dmlloyd/jdk-classfile-preview,6,org.apache.maven.plugins:maven-javadoc-plugin,3.0.1,3.5.0,minor
dmlloyd/jdk-classfile-preview,4,org.apache.maven.plugins:maven-surefire-plugin,3.0.0-M8,3.1.2,minor
dmlloyd/jdk-classfile-preview,3,org.apache.maven.plugins:maven-clean-plugin,3.2.0,3.3.1,minor
dmlloyd/jdk-classfile-preview,2,org.apache.maven.plugins:maven-resources-plugin,3.3.0,3.3.1,patch
dmlloyd/jdk-classfile-preview,1,org.apache.maven.plugins:maven-compiler-plugin,3.10.1,3.11.0,minor
JDK-Plus/spring-boot-starter-milvus,30,org.apache.maven.plugins:maven-gpg-plugin,3.1.0,3.2.3,minor
JDK-Plus/spring-boot-starter-milvus,29,com.azure:azure-core-http-netty,1.14.1,1.14.2,patch
JDK-Plus/spring-boot-starter-milvus,28,com.azure:azure-core,1.47.0,1.48.0,minor
JDK-Plus/spring-boot-starter-milvus,21,com.azure:azure-core,1.45.1,1.47.0,minor
JDK-Plus/spring-boot-starter-milvus,20,com.azure:azure-core-http-netty,1.13.11,1.14.1,minor
JDK-Plus/spring-boot-starter-milvus,12,org.sonatype.plugins:nexus-staging-maven-plugin,1.6.7,1.6.13,patch
JDK-Plus/spring-boot-starter-milvus,10,com.azure:azure-core,1.43.0,1.45.1,minor
JDK-Plus/spring-boot-starter-milvus,9,kr.motd.maven:os-maven-plugin,1.6.2,1.7.1,minor
Cosium/matrix-communication-client,36,ch.qos.logback:logback-classic,1.4.11,1.4.14,patch
hantsy/jakartaee10-starter-boilerplate,76,org.codehaus.cargo:cargo-maven3-plugin,1.10.12,1.10.13,patch
hantsy/jakartaee10-starter-boilerplate,73,org.wildfly.plugins:wildfly-maven-plugin,4.2.2.Final,5.0.0.Final,major
hantsy/jakartaee10-starter-boilerplate,60,org.sonarsource.scanner.maven:sonar-maven-plugin,3.10.0.2594,3.11.0.3922,minor
hantsy/jakartaee10-starter-boilerplate,59,io.openliberty.tools:liberty-maven-plugin,3.10.1,3.10.2,patch
hantsy/jakartaee10-starter-boilerplate,58,io.openliberty.tools:liberty-maven-plugin,3.10,3.10.1,patch
hantsy/jakartaee10-starter-boilerplate,57,org.jboss.remoting:jboss-remoting,5.0.27.Final,5.0.28.Final,patch
hantsy/jakartaee10-starter-boilerplate,55,org.codehaus.cargo:cargo-maven3-plugin,1.10.11,1.10.12,patch
hantsy/jakartaee10-starter-boilerplate,52,org.wildfly.plugins:wildfly-maven-plugin,4.2.1.Final,4.2.2.Final,patch
hantsy/jakartaee10-starter-boilerplate,48,org.apache.maven.plugins:maven-surefire-report-plugin,3.2.3,3.2.5,patch
hantsy/jakartaee10-starter-boilerplate,45,org.apache.maven.plugins:maven-jxr-plugin,3.3.1,3.3.2,patch
hantsy/jakartaee10-starter-boilerplate,38,org.apache.maven.plugins:maven-surefire-report-plugin,3.2.2,3.2.3,patch
hantsy/jakartaee10-starter-boilerplate,36,io.openliberty.tools:liberty-maven-plugin,3.8.2,3.10,minor
hantsy/jakartaee10-starter-boilerplate,35,org.codehaus.cargo:cargo-maven3-plugin,1.10.7,1.10.11,patch
hantsy/jakartaee10-starter-boilerplate,31,org.wildfly.plugins:wildfly-maven-plugin,4.2.0.Final,4.2.1.Final,patch
hantsy/jakartaee10-starter-boilerplate,30,org.apache.maven.plugins:maven-surefire-report-plugin,3.2.1,3.2.2,patch
hantsy/jakartaee10-starter-boilerplate,25,org.apache.maven.plugins:maven-jxr-plugin,3.3.0,3.3.1,patch
hantsy/jakartaee10-starter-boilerplate,24,org.apache.maven.plugins:maven-dependency-plugin,3.6.0,3.6.1,patch
hantsy/jakartaee10-starter-boilerplate,23,org.apache.maven.plugins:maven-surefire-report-plugin,3.1.2,3.2.1,minor
