repository,pr,ga,v_old,v_new,update_type
OpenFeign/querydsl,371,com.microsoft.sqlserver:mssql-jdbc,12.6.1.jre8,12.7.0.jre8-preview,minor
OpenFeign/querydsl,370,io.asyncer:r2dbc-mysql,1.1.2,1.1.3,patch
OpenFeign/querydsl,368,org.apache.maven.plugins:maven-source-plugin,3.3.0,3.3.1,patch
OpenFeign/querydsl,366,io.github.classgraph:classgraph,4.8.168,4.8.170,patch
OpenFeign/querydsl,363,org.jacoco:jacoco-maven-plugin,0.8.11,0.8.12,patch
OpenFeign/querydsl,361,net.bytebuddy:byte-buddy,1.14.12,1.14.13,patch
OpenFeign/querydsl,358,org.apache.maven.plugins:maven-gpg-plugin,3.2.1,3.2.2,patch
OpenFeign/querydsl,349,org.apache.maven.plugins:maven-compiler-plugin,3.12.1,3.13.0,minor
OpenFeign/querydsl,348,org.apache.maven.plugins:maven-gpg-plugin,3.2.0,3.2.1,patch
OpenFeign/querydsl,347,org.apache.maven.plugins:maven-assembly-plugin,3.7.0,3.7.1,patch
OpenFeign/querydsl,345,io.smallrye:jandex,3.1.6,3.1.7,patch
OpenFeign/querydsl,344,org.postgresql:postgresql,42.7.2,42.7.3,patch
OpenFeign/querydsl,341,com.google.guava:guava,33.0.0-jre,33.1.0-jre,minor
OpenFeign/querydsl,339,org.xerial:sqlite-jdbc,3.45.1.0,3.45.2.0,patch
OpenFeign/querydsl,336,org.apache.maven.plugins:maven-gpg-plugin,3.1.0,3.2.0,minor
OpenFeign/querydsl,335,org.apache.maven.plugins:maven-assembly-plugin,3.6.0,3.7.0,minor
OpenFeign/querydsl,334,org.firebirdsql.jdbc:jaybird,5.0.3.java11,5.0.4.java11,patch
OpenFeign/querydsl,333,org.apache.logging.log4j:log4j-core,2.23.0,2.23.1,patch
OpenFeign/querydsl,332,com.github.ekryd.sortpom:sortpom-maven-plugin,3.4.0,3.4.1,patch
OpenFeign/querydsl,330,io.github.classgraph:classgraph,4.8.165,4.8.168,patch
OpenFeign/querydsl,327,com.github.siom79.japicmp:japicmp-maven-plugin,0.19.1,0.20.0,minor
OpenFeign/querydsl,325,org.jetbrains.dokka:dokka-maven-plugin,1.9.10,1.9.20,patch
OpenFeign/querydsl,324,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.5,0.19.1,minor
OpenFeign/querydsl,321,io.asyncer:r2dbc-mysql,1.1.1,1.1.2,patch
OpenFeign/querydsl,316,org.apache.logging.log4j:log4j-core,2.22.1,2.23.0,minor
OpenFeign/querydsl,312,com.microsoft.sqlserver:mssql-jdbc,12.6.0.jre8,12.6.1.jre8,patch
OpenFeign/querydsl,311,com.github.ekryd.sortpom:sortpom-maven-plugin,3.3.0,3.4.0,minor
OpenFeign/querydsl,310,org.postgresql:postgresql,42.7.1,42.7.2,patch
OpenFeign/querydsl,308,net.bytebuddy:byte-buddy,1.14.11,1.14.12,patch
OpenFeign/querydsl,303,com.github.siom79.japicmp:japicmp-maven-plugin,0.18.3,0.18.4,patch
OpenFeign/querydsl,288,joda-time:joda-time,2.12.6,2.12.7,patch
OpenFeign/querydsl,283,org.assertj:assertj-core,3.25.2,3.25.3,patch
OpenFeign/querydsl,280,com.microsoft.sqlserver:mssql-jdbc,12.5.0.jre8-preview,12.6.0.jre8,minor
OpenFeign/querydsl,278,org.xerial:sqlite-jdbc,3.45.0.0,3.45.1.0,patch
OpenFeign/querydsl,270,org.assertj:assertj-core,3.25.1,3.25.2,patch
OpenFeign/querydsl,258,com.squareup:kotlinpoet-jvm,1.15.3,1.16.0,minor
OpenFeign/querydsl,254,org.apache.maven.plugins:maven-surefire-plugin,3.2.3,3.2.5,patch
OpenFeign/querydsl,252,org.apache.maven.plugins:maven-plugin-plugin,3.10.2,3.11.0,minor
OpenFeign/querydsl,242,org.orbisgis:h2gis,2.2.0,2.2.1,patch
OpenFeign/querydsl,241,joda-time:joda-time,2.12.5,2.12.6,patch
OpenFeign/querydsl,240,com.fasterxml:classmate,1.6.0,1.7.0,minor
OpenFeign/querydsl,233,org.assertj:assertj-core,3.25.0,3.25.1,patch
OpenFeign/querydsl,232,org.assertj:assertj-core,3.24.2,3.25.0,minor
OpenFeign/querydsl,230,org.apache.logging.log4j:log4j-core,2.22.0,2.22.1,patch
OpenFeign/querydsl,229,org.eclipse.persistence:eclipselink,2.7.13,2.7.14,patch
OpenFeign/querydsl,221,org.javassist:javassist,3.30.1-GA,3.30.2-GA,patch
OpenFeign/querydsl,218,org.apache.maven.plugins:maven-compiler-plugin,3.11.0,3.12.1,minor
OpenFeign/querydsl,217,net.alchim31.maven:scala-maven-plugin,3.1.3,3.4.6,minor
OpenFeign/querydsl,216,net.bytebuddy:byte-buddy,1.14.10,1.14.11,patch
OpenFeign/querydsl,213,org.codehaus.plexus:plexus-component-annotations,2.1.1,2.2.0,minor
OpenFeign/querydsl,212,org.codehaus.plexus:plexus-classworlds,2.7.0,2.8.0,minor
OpenFeign/querydsl,203,io.github.classgraph:classgraph,4.8.164,4.8.165,patch
OpenFeign/querydsl,202,com.google.guava:guava,32.1.3-jre,33.0.0-jre,major
OpenFeign/querydsl,200,org.xerial:sqlite-jdbc,3.43.2.2,3.44.1.0,minor
OpenFeign/querydsl,197,org.apache.maven.plugins:maven-surefire-plugin,3.2.2,3.2.3,patch
OpenFeign/querydsl,196,io.sundr:sundr-maven-plugin,0.101.3,0.103.1,minor
OpenFeign/querydsl,193,org.jetbrains:annotations,24.0.1,24.1.0,minor
OpenFeign/querydsl,191,org.apache.maven.plugins:maven-javadoc-plugin,3.6.2,3.6.3,patch
OpenFeign/querydsl,186,org.apache.logging.log4j:log4j-core,2.21.1,2.22.0,minor
OpenFeign/querydsl,185,org.javassist:javassist,3.29.2-GA,3.30.1-GA,minor
OpenFeign/querydsl,184,com.ibm.db2:jcc,11.5.8.0,11.5.9.0,patch
OpenFeign/querydsl,180,org.postgresql:postgresql,42.6.0,42.7.1,minor
OpenFeign/querydsl,152,org.postgresql:postgresql,42.7.0,42.7.1,patch
OpenFeign/querydsl,145,jakarta.activation:jakarta.activation-api,2.1.1,2.1.2,patch
OpenFeign/querydsl,144,io.smallrye:jandex,3.1.2,3.1.6,patch
OpenFeign/querydsl,143,com.squareup:kotlinpoet-jvm,1.15.2,1.15.3,patch
OpenFeign/querydsl,136,com.squareup:kotlinpoet-jvm,1.15.1,1.15.2,patch
OpenFeign/querydsl,134,io.sundr:sundr-maven-plugin,0.103.0,0.103.1,patch
OpenFeign/querydsl,131,org.firebirdsql.jdbc:jaybird,5.0.2.java8,5.0.3.java8,patch
OpenFeign/querydsl,130,io.sundr:sundr-maven-plugin,0.101.3,0.103.0,minor
OpenFeign/querydsl,129,org.xerial:sqlite-jdbc,3.44.0.0,3.44.1.0,patch
OpenFeign/querydsl,125,org.codehaus.plexus:plexus-component-annotations,1.7.1,2.1.1,major
OpenFeign/querydsl,121,org.postgresql:postgresql,42.6.0,42.7.0,minor
OpenFeign/querydsl,112,com.microsoft.sqlserver:mssql-jdbc,12.4.2.jre8,12.5.0.jre8-preview,minor
OpenFeign/querydsl,107,org.xerial:sqlite-jdbc,3.43.2.2,3.44.0.0,minor
OpenFeign/querydsl,106,org.firebirdsql.jdbc:jaybird,4.0.6.java8,5.0.2.java8,major
OpenFeign/querydsl,105,com.microsoft.sqlserver:mssql-jdbc,11.2.1.jre8,12.4.2.jre8,major
OpenFeign/querydsl,102,org.postgresql:postgresql,42.3.4,42.6.0,minor
OpenFeign/querydsl,98,com.oracle.database.jdbc:ojdbc8,21.7.0.0,23.3.0.23.09,major
OpenFeign/querydsl,93,org.postgresql:postgresql,42.2.22,42.6.0,minor
OpenFeign/querydsl,92,io.sundr:sundr-maven-plugin,0.101.0,0.101.3,patch
OpenFeign/querydsl,90,org.geolatte:geolatte-geom,1.8.2,1.9.1,minor
OpenFeign/querydsl,81,org.hsqldb:hsqldb,2.6.0,2.7.2,minor
OpenFeign/querydsl,80,io.github.classgraph:classgraph,4.8.108,4.8.164,patch
OpenFeign/querydsl,75,com.fasterxml:classmate,1.5.1,1.6.0,minor
OpenFeign/querydsl,73,org.apache.maven.plugins:maven-javadoc-plugin,3.6.0,3.6.2,patch
OpenFeign/querydsl,72,org.joda:joda-money,1.0.1,1.0.4,patch
OpenFeign/querydsl,71,joda-time:joda-time,2.10.10,2.12.5,minor
OpenFeign/querydsl,70,org.orbisgis:h2gis,2.0.0,2.2.0,minor
OpenFeign/querydsl,68,org.hibernate:hibernate-search-orm,5.11.9.Final,5.11.12.Final,patch
OpenFeign/querydsl,67,org.apache.maven.plugins:maven-surefire-plugin,3.2.1,3.2.2,patch
OpenFeign/querydsl,65,org.projectlombok:lombok,1.18.20,1.18.30,patch
OpenFeign/querydsl,64,org.apache.maven.plugins:maven-plugin-plugin,3.6.1,3.10.2,minor
OpenFeign/querydsl,63,com.squareup:kotlinpoet,1.9.0,1.14.2,minor
OpenFeign/querydsl,59,com.ibm.db2:jcc,11.5.5.0,11.5.8.0,patch
OpenFeign/querydsl,58,org.apache.maven.plugins:maven-deploy-plugin,2.8.2,3.1.1,major
OpenFeign/querydsl,56,org.mongodb:mongo-java-driver,3.12.8,3.12.14,patch
OpenFeign/querydsl,51,mysql:mysql-connector-java,8.0.25,8.0.30,patch
OpenFeign/querydsl,50,org.codehaus.mojo:animal-sniffer-annotations,1.20,1.23,minor
OpenFeign/querydsl,42,org.apache.ant:ant,1.10.11,1.10.14,patch
OpenFeign/querydsl,41,org.codehaus.plexus:plexus-utils,3.3.0,4.0.0,major
OpenFeign/querydsl,40,org.apache.maven.plugins:maven-pmd-plugin,3.21.0,3.21.2,patch
OpenFeign/querydsl,37,com.mysema.maven:apt-maven-plugin,1.0.9,1.1.3,minor
OpenFeign/querydsl,36,org.jboss.logging:jboss-logging,3.4.2.Final,3.5.3.Final,minor
OpenFeign/querydsl,35,org.ow2.asm:asm-commons,9.2,9.6,minor
OpenFeign/querydsl,32,org.datanucleus:datanucleus-maven-plugin,5.2.1,6.0.0-release,major
OpenFeign/querydsl,29,org.easymock:easymock,4.3,5.2.0,major
OpenFeign/querydsl,27,org.apache.maven.plugins:maven-compiler-plugin,3.8.1,3.11.0,minor
OpenFeign/querydsl,28,org.apache.felix:maven-bundle-plugin,5.1.2,5.1.9,patch
OpenFeign/querydsl,20,org.javassist:javassist,3.28.0-GA,3.29.2-GA,minor
OpenFeign/querydsl,23,org.apache.maven.plugins:maven-assembly-plugin,3.3.0,3.6.0,minor
OpenFeign/querydsl,19,org.jetbrains:annotations,21.0.1,24.0.1,major
OpenFeign/querydsl,17,org.apache.maven.plugins:maven-source-plugin,3.2.1,3.3.0,minor
OpenFeign/querydsl,15,org.apache.maven.plugins:maven-pmd-plugin,3.14.0,3.21.0,minor
OpenFeign/querydsl,14,org.apache.maven.plugins:maven-checkstyle-plugin,3.1.2,3.3.1,minor
OpenFeign/querydsl,12,com.google.guava:guava,30.1.1-jre,32.0.0-jre,major
OpenFeign/querydsl,10,org.datanucleus:javax.jdo,3.2.0-m13,3.2.1,patch
OpenFeign/querydsl,8,org.ow2.asm:asm,9.2,9.6,minor
OpenFeign/querydsl,7,org.apache.maven.plugins:maven-javadoc-plugin,3.3.0,3.6.0,minor
OpenFeign/querydsl,3,org.apache.ant:ant,1.10.10,1.10.11,patch
meteorOSS/wechat-bc,11,com.alibaba:fastjson,2.0.31,2.0.46,patch
meteorOSS/wechat-bc,7,org.yaml:snakeyaml,1.28,2.2,major
usdAG/FlowMate,26,org.neo4j:neo4j-ogm-bolt-driver,4.0.8,4.0.9,patch
usdAG/FlowMate,25,org.neo4j:neo4j-ogm-core,4.0.8,4.0.9,patch
usdAG/FlowMate,23,net.portswigger.burp.extensions:montoya-api,2023.3,2023.12.1,minor
usdAG/FlowMate,22,org.commonmark:commonmark,0.20.0,0.21.0,minor
usdAG/FlowMate,19,org.apache.maven.plugins:maven-assembly-plugin,3.2.0,3.6.0,minor
usdAG/FlowMate,18,org.jsoup:jsoup,1.17.1,1.17.2,patch
usdAG/FlowMate,17,org.neo4j:neo4j-bolt,5.13.0,5.15.0,minor
usdAG/FlowMate,16,org.apache.commons:commons-lang3,3.10,3.14.0,minor
usdAG/FlowMate,15,com.opencsv:opencsv,5.2,5.9,minor
usdAG/FlowMate,14,org.neo4j:neo4j,5.13.0,5.15.0,minor
usdAG/FlowMate,13,org.neo4j:neo4j-native,5.13.0,5.15.0,minor
usdAG/FlowMate,12,org.jsoup:jsoup,1.15.3,1.17.1,minor
usdAG/FlowMate,11,com.github.wnameless.json:json-flattener,0.16.4,0.16.6,patch
usdAG/FlowMate,9,org.apache.commons:commons-text,1.10.0,1.11.0,minor
usdAG/FlowMate,4,org.projectlombok:lombok,1.18.26,1.18.30,patch
quarkiverse/quarkus-langchain4j,454,io.quarkiverse.wiremock:quarkus-wiremock-test,1.3.0,1.3.1,patch
quarkiverse/quarkus-langchain4j,433,org.wiremock:wiremock-standalone,3.4.2,3.5.2,minor
quarkiverse/quarkus-langchain4j,324,org.wiremock:wiremock-standalone,3.4.1,3.4.2,patch
quarkiverse/quarkus-langchain4j,314,org.wiremock:wiremock-standalone,3.3.1,3.4.1,minor
quarkiverse/quarkus-langchain4j,203,org.assertj:assertj-core,3.24.2,3.25.1,minor
quarkiverse/quarkus-langchain4j,190,org.apache.maven.plugins:maven-compiler-plugin,3.12.0,3.12.1,patch
quarkiverse/quarkus-langchain4j,167,org.apache.maven.plugins:maven-compiler-plugin,3.11.0,3.12.0,minor
quarkiverse/quarkus-langchain4j,114,com.pgvector:pgvector,0.1.3,0.1.4,patch
quarkiverse/quarkus-langchain4j,4,org.wiremock:wiremock-standalone,3.2.0,3.3.1,minor
Flmelody/windward,51,org.projectlombok:lombok,1.18.30,1.18.32,patch
Flmelody/windward,50,org.apache.groovy:groovy-templates,4.0.19,4.0.20,patch
Flmelody/windward,49,com.fasterxml.jackson.core:jackson-databind,2.16.2,2.17.0,minor
Flmelody/windward,47,com.fasterxml.jackson.core:jackson-databind,2.16.1,2.16.2,patch
Flmelody/windward,44,org.apache.groovy:groovy-templates,4.0.18,4.0.19,patch
Flmelody/windward,41,org.slf4j:slf4j-api,2.0.11,2.0.12,patch
Flmelody/windward,40,org.apache.groovy:groovy-templates,4.0.17,4.0.18,patch
Flmelody/windward,37,org.slf4j:slf4j-api,2.0.10,2.0.11,patch
Flmelody/windward,36,org.slf4j:slf4j-api,2.0.9,2.0.10,patch
Flmelody/windward,34,org.apache.maven.plugins:maven-surefire-plugin,2.22.2,3.2.3,major
Flmelody/windward,33,org.apache.groovy:groovy-templates,4.0.15,4.0.17,patch
Flmelody/windward,32,com.fasterxml.jackson.core:jackson-databind,2.16.0,2.16.1,patch
Flmelody/windward,26,org.apache.maven.plugins:maven-javadoc-plugin,3.2.0,3.6.3,minor
Flmelody/windward,25,com.fasterxml.jackson.core:jackson-databind,2.15.3,2.16.0,minor
Flmelody/windward,24,org.apache.groovy:groovy-templates,4.0.14,4.0.15,patch
Flmelody/windward,22,nz.net.ultraq.thymeleaf:thymeleaf-layout-dialect,3.2.1,3.3.0,minor
Flmelody/windward,20,org.apache.maven.plugins:maven-checkstyle-plugin,3.3.0,3.3.1,patch
Flmelody/windward,19,org.projectlombok:lombok,1.18.28,1.18.30,patch
Flmelody/windward,18,org.slf4j:slf4j-api,2.0.7,2.0.9,patch
